Computing W(2,5)
    Generating all certificates of length 6
    Found 29 initial certificates: [100001, 100010, 100011, 100100, 100101, 100110, 100111, 101000, 101001, 101010, 101011, 101100, 101101, 101110, 101111, 110000, 110001, 110010, 110011, 110100, 110101, 110110, 110111, 111000, 111001, 111010, 111011, 111100, 111101]
    W(2,5) > 7 in 0s
    W(2,5) > 8 in 0s
    W(2,5) > 9 in 0s
    W(2,5) > 10 in 0s
    W(2,5) > 11 in 0s
    W(2,5) > 12 in 0s
    W(2,5) > 13 in 0s
    W(2,5) > 14 in 0s
    W(2,5) > 15 in 0s
    W(2,5) > 16 in 0s
    W(2,5) > 17 in 0s
    W(2,5) > 18 in 0s
    W(2,5) > 19 in 0s
    W(2,5) > 20 in 0s
    W(2,5) > 21 in 0s
    W(2,5) > 22 in 0s
    W(2,5) > 23 in 0s
    W(2,5) > 24 in 0s
    W(2,5) > 25 in 0s
    W(2,5) > 26 in 0s
    W(2,5) > 27 in 0s
    W(2,5) > 28 in 0s
    W(2,5) > 29 in 0s
    W(2,5) > 30 in 0s
    W(2,5) > 31 in 0s
    W(2,5) > 32 in 0s
    W(2,5) > 33 in 0s
    W(2,5) > 34 in 0s
    W(2,5) > 35 in 0s
    W(2,5) > 36 in 0s
    W(2,5) > 37 in 0s
    W(2,5) > 38 in 0s
    W(2,5) > 39 in 0s
    W(2,5) > 40 in 0s
    W(2,5) > 41 in 0s
    W(2,5) > 42 in 0s
    W(2,5) > 43 in 0s
    W(2,5) > 44 in 0s
    W(2,5) > 45 in 0s
    W(2,5) > 46 in 0s
    W(2,5) > 47 in 0s
    W(2,5) > 48 in 0s
    W(2,5) > 49 in 0s
    W(2,5) > 50 in 0s
    W(2,5) > 51 in 0s
    W(2,5) > 52 in 0s
    W(2,5) > 53 in 0s
    W(2,5) > 54 in 0s
    W(2,5) > 55 in 0s
    W(2,5) > 56 in 0s
    W(2,5) > 57 in 0s
    W(2,5) > 58 in 0s
    W(2,5) > 59 in 0s
    W(2,5) > 60 in 0s
    W(2,5) > 61 in 0s
    W(2,5) > 62 in 0s
    W(2,5) > 63 in 0s
    W(2,5) > 64 in 0s
    W(2,5) > 65 in 0s
    W(2,5) > 66 in 0s
    W(2,5) > 67 in 0s
    W(2,5) > 68 in 0s
    W(2,5) > 69 in 0s
    W(2,5) > 70 in 0s
    W(2,5) > 71 in 0s
    W(2,5) > 72 in 0s
    W(2,5) > 73 in 0s
    W(2,5) > 74 in 0s
    W(2,5) > 75 in 0s
    W(2,5) > 76 in 0s
    W(2,5) > 77 in 0s
    W(2,5) > 78 in 0s
    W(2,5) > 79 in 0s
    W(2,5) > 80 in 0s
    W(2,5) > 81 in 0s
    W(2,5) > 82 in 0s
    W(2,5) > 83 in 0s
    W(2,5) > 84 in 0s
    W(2,5) > 85 in 0s
    W(2,5) > 86 in 0s
    W(2,5) > 87 in 0s
    W(2,5) > 88 in 0s
    W(2,5) > 89 in 0s
    W(2,5) > 90 in 0s
    W(2,5) > 91 in 0s
    W(2,5) > 92 in 0s
    W(2,5) > 93 in 0s
    W(2,5) > 94 in 0s
    W(2,5) > 95 in 0s
    W(2,5) > 96 in 0s
    W(2,5) > 97 in 0s
    W(2,5) > 98 in 0s
    W(2,5) > 99 in 0s
    W(2,5) > 100 in 0s
    W(2,5) > 101 in 0s
    W(2,5) > 102 in 0s
    W(2,5) > 103 in 0s
    W(2,5) > 104 in 0s
    W(2,5) > 105 in 0s
    W(2,5) > 106 in 0s
    W(2,5) > 107 in 0s
    W(2,5) > 108 in 0s
    W(2,5) > 109 in 0s
    W(2,5) > 110 in 0s
    W(2,5) > 111 in 0s
    W(2,5) > 112 in 0s
    W(2,5) > 113 in 0s
    W(2,5) > 114 in 0s
    W(2,5) > 115 in 0s
    W(2,5) > 116 in 0s
    W(2,5) > 117 in 0s
    W(2,5) > 118 in 0s
    W(2,5) > 119 in 0s
    W(2,5) > 120 in 0s
    W(2,5) > 121 in 0s
    W(2,5) > 122 in 0s
    W(2,5) > 123 in 0s
    W(2,5) > 124 in 0s
    W(2,5) > 125 in 0s
    W(2,5) > 126 in 0s
    W(2,5) > 127 in 0s
    W(2,5) > 128 in 0s
    W(2,5) > 129 in 0s
    W(2,5) > 130 in 0s
    W(2,5) > 131 in 0s
    W(2,5) > 132 in 0s
    W(2,5) > 133 in 0s
    W(2,5) > 134 in 0s
    W(2,5) > 135 in 0s
    W(2,5) > 136 in 0s
    W(2,5) > 137 in 0s
    W(2,5) > 138 in 0s
    W(2,5) > 139 in 0s
    W(2,5) > 140 in 0s
    W(2,5) > 141 in 0s
    W(2,5) > 142 in 0s
    W(2,5) > 143 in 0s
    W(2,5) > 144 in 0s
    W(2,5) > 145 in 0s
    W(2,5) > 146 in 0s
    W(2,5) > 147 in 0s
    W(2,5) > 148 in 0s
    W(2,5) > 149 in 0s
    W(2,5) > 150 in 0s
    W(2,5) > 151 in 0s
    W(2,5) > 152 in 0s
    W(2,5) > 153 in 0s
    W(2,5) > 154 in 0s
    W(2,5) > 155 in 0s
    W(2,5) > 156 in 0s
    W(2,5) > 157 in 0s
    W(2,5) > 158 in 0s
    W(2,5) > 159 in 0s
    W(2,5) > 160 in 0s
    W(2,5) > 161 in 0s
    W(2,5) > 162 in 0s
    W(2,5) > 163 in 0s
    W(2,5) > 164 in 0s
    W(2,5) > 165 in 0s
    W(2,5) > 166 in 0s
    W(2,5) > 167 in 0s
    W(2,5) > 168 in 0s
    W(2,5) > 169 in 0s
    W(2,5) > 170 in 0s
    W(2,5) > 171 in 0s
    W(2,5) > 172 in 0s
    W(2,5) > 173 in 0s
    W(2,5) > 174 in 0s
    W(2,5) > 175 in 0s
    W(2,5) > 176 in 0s
    W(2,5) > 177 in 1m 14s

Calculated W(2,5) = 178 in 10m 32s
